id,author,year,period_of_year,title,obj_plant,obj_animal,obj_ecosystem,communities_populations,obj_ecosystem_int,obj_landscape,obj_socioecological,obj_soil,obj_interactions,obj_climate,obj_litter,obj_others,exclusives,high_level,high_com,high_ecos,high_landscape,high_socio,object_of_study_anthropic,object_of_study_interaction,plant_seeds,plant_juvenile,plant_adults,plant_not_specified,atlantic_forest,amazon,cerrado,caatinga,pampa
1,"Vitousek, P.M. and Matson, P.A.",1988,1971-1990,Nitrogen transformations in a range of tropical forest soils,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,0,0
3,"Uhl, C. and Buschbacher, R. and Serrao, E.A.S.",1988,1971-1990,Abandoned pastures in eastern Amazonia. I. Patterns of plant succession,1,0,1,1,1,0,0,0,0,0,0,0,2,ecosystem,0,1,0,0,,,0,0,0,1,0,1,0,0,0
5,"Buschbacher, R. and Uhl, C. and Serrao, E.A.S.",1988,1971-1990,Abandoned pastures in eastern Amazonia. II. Nutrient stocks in the soil and vegetation,0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,0,1,0,0,0
6,"da S. Martins, P.F. and Cerri, C.C. and Volkoff, B. and Andreux, F. and Chauvel, A.",1991,1991-1995,Consequences of clearing and tillage on the soil of a natural Amazonian ecosystem,1,0,0,0,0,0,1,1,0,0,0,0,3,socioecological,0,0,0,1,socioecological,,0,0,0,1,0,1,0,0,0
7,"Junk, W.J. and Piedade, M.T.F.",1993,1991-1995,Herbaceous plants of the Amazon floodplain near Manaus: species diversity and adaptations to the flood pulse,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,0,0,1,0,1,0,0,0
9,"Moran, E.F.",1993,1991-1995,Deforestation and land use in the Brazilian Amazon,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,NA,NA,0,0,0,1,0,1,0,0,0
12,"Mausel, P. and Wu, Y. and Li, Y.",1993,1991-1995,Spectral identification of successional stages following deforestation in the amazon,1,0,0,0,0,1,0,0,0,0,0,0,2,landscape,0,0,1,0,,,0,0,0,1,0,1,0,0,0
16,"Nepstad, D.C. and Uhl, C. and Serrao, E.A.S.",1991,1991-1995,RECUPERATION OF A DEGRADED AMAZONIAN LANDSCAPE - FOREST RECOVERY AND AGRICULTURAL RESTORATION,0,0,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0
17,"Cabreira, W.V. and de Carvalho Balieiro, F. and Pereira, M.G. and dos Santos, R.N.",2024,2021-2025,"Corymbia citriodora Girdling Aiming Forest Restoration Intensifies the Production of Labile C, N and P in the Soil",0,0,0,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,1,0,0,0,0
18,"Luz, A.L.D.S. and Reis, M.D.G.F. and Dos Reis, G.G. and Volpato, M.M.L. and Caliman, J.P. and da Silva, C.C. and Terto, R.S.",2023,2021-2025,SPACE-TEMPORAL DYNAMICS OF ENDEMIC TREE SPECIES IN SECONDARY FOREST IN THE ATLANTIC FOREST DOMAIN IN BRAZIL,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,0,1,1,0,1,0,0,0,0
19,"Restrepo-Carvajal, I.C. and Manhães, A.P. and Pantaleão, L.C. and de Moraes, L.F.D. and Mantuano, D.G. and Sansevero, J.B.B.",2024,2021-2025,Testing for priority effects of tree plantings on natural regeneration in restoration sites in the Brazilian Atlantic Forest,1,0,0,1,0,0,0,0,0,0,0,0,1,communities,1,0,0,0,,,1,1,1,0,1,0,0,0,0
21,"Hatfield, J.H. and Banks-Leite, C. and Barlow, J. and Lees, A.C. and Tobias, J.A.",2024,2021-2025,Constraints on avian seed dispersal reduce potential for resilience in degraded tropical forests,0,1,0,NA,1,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,,seed dispersal,NA,NA,NA,NA,1,1,0,0,0
