author,year,title,abstract,group
"MILAGRE, JOCIMAR C. and MENDES, LUCAS JOSÉ and SILVA, PEDRO S. DA and SANTOS, WILLIAM RENATO T. DOS and FOCKINK, GUILHERME DIEGO and GRANZOTTO, FABIANE and FONTANA, AGNES ESTELA and SCHENATO, RICARDO B. and ROVEDDER, ANA PAULA M.",2025,Long-term effects of cattle rearing on vegetation and soil in riparian forests in southern Brazil,"Abstract Comprehending the impacts of the presence of cattle on different compartments of riparian forests is essential for the management of these environments, which play a crucial role in biodiversity conservation and human well-being. The objective of this study was to assess the long-term effects of cattle on the structure (tree stratum and natural regeneration) and floristic composition of vegetation, as well as on the litter and soil carbon stock (0-5, 5-15, 15-30, and 30-100 cm) in riparian forests. We compared two forest areas in southern Brazil, one isolated from cattle for 28 years and another used by cattle with a high animal load. Our results indicate that cattle modify the floristic composition and structure of vegetation, mainly affecting litter carbon stock and the abundance, richness, and diversity of natural regeneration. However, we did not observe a significant change in soil carbon stock and its correlation with vegetation variables. Our findings emphasize the need to explore adaptation alternatives of livestock activities with the maintenance of riparian forest ecosystem services. Adequate cattle load management and fencing of riparian forests, with the installation of watering corridors for cattle, are essential actions to reconcile livestock production with forest conservation.",scielo
"MODOLO, Guilherme Silva and SANTIAGO, Daniel Andrade and DOS SANTOS, Victor Alexandre Hardt Ferreira and GUIMARÃES, Zilza Thayane Matos and CAMPOS, Taynãna Freitas Leite and REIS, Aluandra Ferreira and COELHO SILVA, Debora and TOMAZELLO FILHO, Mario and SCHÖNGART, Jochen and ALBIERO JUNIOR, Alci and ASSIS PEREIRA, Gabriel and FERREIRA, Marciel José",2025,Assessing the potential of tropical secondary forests in the Central Amazon for timber production,"ABSTRACT Sustainable forest management is an important strategy for the conservation of tropical secondary forests. However, knowledge about their potential for timber production is scarce, especially in the Central Amazon. We performed a silvicultural diagnosis in Central Amazon secondary forests to understand their potential for forest management. The diagnosis was carried out in two secondary forest patches at advanced successional stages located 38 km north and 75 km northeast of Manaus. We quantified the commercial tree species, classified their stem quality and growth conditions (crown exposure and liana infestation), and related tree size (diameter at breast height-DBH) to growth conditions. We identified 46 commercial tree species. Goupia glabra, a very important timber species, exhibited the highest density of individuals (more than 95 individuals ha-1). Good and reasonable quality stems accounted for 87% of the commercial trees, with 45 and 42% classified as of good and reasonable quality, respectively. The species composition and stem quality of the examined secondary forests support timber production through sustainable management. Commercial trees predominantly had crowns with low light exposure (63% with a Dawkins index lower than 4) and were liana infested (62% with lianas on some part of the tree), requiring silvicultural treatments to improve growth conditions. The number of trees under suppressed growth conditions (low light and liana-infested) varied according to species and tree size, requiring specific recommendations for silvicultural treatments. These results demonstrate the potential of secondary forests for timber production and provide valuable insights for management strategies aiming at promoting sustainable management to prevent secondary forest deforestation. RESUMO O manejo florestal sustentável é uma estratégia importante para a conservação de florestas tropicais secundárias. No entanto, o conhecimento sobre o potencial dessas florestas para a produção de madeira é escasso, especialmente na Amazônia Central. Nós realizamos o diagnóstico silvicultural em florestas secundárias da Amazônia Central para analisar seu potencial para o manejo florestal. O diagnóstico foi conduzido em duas florestas secundárias em estágio avançado de regeneração, localizadas a 38 km ao norte e 75 km ao nordeste de Manaus. Nós quantificamos as espécies arbóreas comerciais, classificamos a qualidade do fuste e condições de crescimento (exposição da copa e infestação por lianas) de seus indivíduos e relacionamos o tamanho dos indivíduos com as condições de crescimento. Nós encontramos 46 espécies arbóreas comerciais. Goupia glabra, uma espécie madeireira muito importante, teve a maior densidade (acima de 95 indivíduos ha-1). 87% dos indivíduos das espécies comerciais possuem fustes de qualidade boa (45%) ou razoável (42%). As florestas secundárias estudadas possuem composição de espécies e qualidade de fustes que apoiam a produção de madeira através do manejo sustentável. Predominantemente, os indivíduos possuem copas pouco expostas à luz (63% delas com Índice de Dawkins abaixo de 4) e estavam infestados por lianas (62% com lianas em alguma parte da árvore), demandando tratamentos silviculturais para melhorar as condições de crescimento. A quantidade de indivíduos em condições suprimidas de crescimento (pouco iluminadas e infestadas com lianas) variou de acordo com as espécies e o tamanho do indivíduo, embasando recomendações específicas para tratamentos silviculturais. Esses resultados demonstram o potencial de florestas secundárias para a produção de madeira e fornecem valiosas informações para a formulação de estratégias de manejo, buscando promover o manejo sustentável como forma de evitar o desmatamento de florestas secundárias.",scielo
"Pohlmann, Jéferson and Rocha, Alícia Helena Torres da and Silva, Vinícius Leão da and Käffer, Márcia Isabel and Schmitt, Jairo Lizandro",2025,Natural regeneration of fern communities after removal of Pinus elliottii in southern Brazil,"Abstract The state of Pinus cultivation in southern Brazil, from the perspective of potential environmental damage, is controversial. Little is known about naturally regenerated forests after clear-cutting Pinus, particularly regarding ferns, forest structure, and soil composition. This study evaluated differences in fern community structure, forest attributes, and soil properties in a regeneration area 15 years after P. elliottii removal, compared to an Araucaria Forest in the Canela National Forest, Brazil. A 1-hectare plot was divided into 100 m2 subplots, with 12 units randomly selected at each site. In each subplot, all fern species were recorded, and their coverage was measured. Forest and soil parameters were also collected. In the Pinus removal area, forest regeneration shows a fern community with lower species richness, greater floristic homogeneity, and a simplified structure compared to the reference area. Tree species structure differs between sites, with a high density of Pinus and absence of Araucaria angustifolia in the regeneration area. These trees are taller, form a more closed canopy, and create thicker leaf litter. The soil at the regeneration site has lower nutritional quality, greater acidity, and higher aluminum concentration compared to the natural forest. Assisted regeneration is recommended to accelerate and improvide forest recovery. Resumo A condição do cultivo de Pinus no sul do Brasil, sob a ótica da possibilidade de agressão ao meio ambiente, é controversa. Pouco se sabe sobre florestas que se regeneram naturalmente após o corte raso de Pinus, particularmente no que diz respeito a samambaias, estrutura florestal e composição do solo. Este estudo avaliou as diferenças na estrutura da comunidade de samambaias, nos atributos da floresta e nas propriedades do solo em uma área de regeneração 15 anos após a remoção de P. elliottii, comparando-a com uma Floresta de Araucária na Floresta Nacional de Canela, Brasil. Uma parcela de 1 hectare foi dividida em subparcelas de 100 m2, com 12 unidades selecionadas aleatoriamente em cada local. Em cada subparcela, todas as espécies de samambaias foram registradas e sua cobertura foi medida. Parâmetros da floresta e do solo também foram coletados. Na área de remoção de Pinus, a regeneração florestal mostra uma comunidade de samambaias com menor riqueza de espécies, maior homogeneidade florística e uma estrutura simplificada em comparação com a área de referência. A estrutura das espécies arbóreas difere entre os locais, com alta densidade de Pinus e ausência de Araucaria angustifolia na área de regeneração. Essas árvores são mais altas, formam um dossel mais fechado e criam uma camada de serapilheira mais espessa. O solo no local de regeneração tem menor qualidade nutricional, maior acidez e maior concentração de alumínio em comparação com a floresta natural. A regeneração assistida é recomendada para acelerar e melhorar a recuperação da floresta.",scielo
"Soares, Aléxia David Santos and Silva, Márcio Borba da and Fraga, Ricardo Evangelista and Hoppe, Estevam Guilherme Lux and Oliveira, Wilson Junior and Schiavetti, Alexandre",2024,"Helminths of Wied’s marmoset (Callithrix kuhlii (Coimbra-Filho, 1985) (Primates: Callitrichidae)) from the Atlantic Forest, Southern Bahia State, Brazil","Abstract Callithrix kuhlii is present in forest mosaics, edge habitats, and abandoned fields in the Atlantic Forest. In Bahia and Minas Gerais. This study aimed to identify helminths from C. kuhlii and relate them to the clinical data, weights, and indices of the liver and gonads. Necropsies were performed on 13 adult marmosets that were run over on the BA-001 highway. A principal component analysis (PCA) was conducted to describe the relationships between the variables investigated. Fifty-one helminths were collected from 30.77% (4/13) of the marmosets analyzed. Helminths were classified based on their morphological and morphometric characteristics. Primasubulura jacchi (Marcel, 1857), Platynosomum illiciens (Dougherty, 1946), and Prosthenorchis confusus (Dougherty, 1946) were the species identified, with prevalence rates of 7.69%, 7.69%, and 15.38%, respectively. In addition, this is a new host record of P. confusus. The two main axes of the PCA explained a high variability (PCA=67.7%), indicating reduced weight and indices of the organs of parasitized animals. This study expands the knowledge on parasites of C. kuhlii and its vulnerability to parasites, contributing to constructing an epidemiological profile of environmental health. Resumo Callithrix kuhlli é encontrado em mosaicos florestais, habitats de borda e campos abandonados da Mata Atlântica. Na Bahia e Minas Gerais. O objetivo do trabalho foi identificar helmintos recuperados de C. kuhlli e relacioná-los aos dados clínicos, pesos e índices provenientes do fígado e das gônadas. Foram realizadas necropsias em 13 saguis adultos atropelados na rodovia BA-001 e realizada uma análise de componentes principais (PCA), para descrever as relações entre as variáveis. Recuperou-se 51 helmintos em 30,77% (4/13) dos saguis analisados. A classificação dos helmintos ocorreu por meio das características morfológicas e morfométricas, sendo Primasubulura jacchi (Marcel, 1857), Platynosomum illiciens (Dougherty, 1946) e Prosthenorchis confusus (Dougherty, 1946) as espécies identificadas, com prevalências de 7,69%; 7,69% e 15,38% respectivamente. Ainda, P. confusus apresenta um novo registro de hospedeiro. Já os dois eixos principais da PCA explicaram alta variabilidade (PCA=67,7%), verificando nos animais parasitados uma redução do peso e índices provenientes dos órgãos. Este trabalho amplia o conhecimento sobre parasitos do C. kuhlli e o grau de vulnerabilidade aos parasitas, contribuindo para uma possível construção de perfil epidemiológico da saúde ambiental.",scielo
"Becker, Regiane Kazmierczak and Giarola, Neyde Fabíola Balarezo and Paula, Ariane Lentice de and Schiebelbein, Bruna Emanuele and Luz, Felipe Bonini da",2024,Soil Health Assessment in Brazilian Subtropical Oxisol Under Land Use and Long-term Tillage Systems,"Abstract Soil health has been used worldwide for soil monitoring in different soil use and management. The objective of the study was to evaluate, in a Subtropical Oxisol of the Campos Gerais region in Paraná state, if the Visual Evaluation of Soil structure (VESS) and Soil Management Assessment Framework (SMAF) approaches allow evaluate soil response to various land uses or soil tillage used in the region. The land use and tillage practices consist of conventional tillage, minimum tillage, no-tillage, and secondary forest. The SMAF was used as a tool to evaluate the soil health using five indicators: pH, phosphorus, potassium, bulk density, and soil organic carbon. The VESS was used to determine the soil structural quality. The secondary forest showed the best soil structure and tillage practices declined soil structure quality. Similarly, the soil health index was higher in secondary forest compared to tillage practices, and the tillage had little effect on soil health. The SMAF showed differences between land use and tillage practices. The VESS method could be used as a complementary tool for monitoring the soil health.",scielo
"Torres, Fillipe Tamiozzo Pereira and Pancieri, Shauanne Dias and Santana Neto, Vicente Paulo and Rodrigues, Vinicius Barros",2024,"FIRE DANGER IN THE SUPPLY AREAS OF HYDROELECTRIC RESERVOIRS UNDER THE RESTORATION PROCESS IN THE SOUTH OF MINAS GERAIS, BRAZIL","ABSTRACT The partial or complete loss of vegetation cover triggers an increase in surface runoff, erosion, and sedimentation of water bodies, including reservoirs for hydroelectric power generation, reducing their life expectancy. To control or mitigate this issue, ecological restoration interventions should prioritize the recovery of areas most vulnerable to these processes, such as springs. Conversely, wildfires cause damage to vegetation cover and hinder ecological restoration and/or natural regeneration processes. Therefore, this study aimed to identify - with the aid of Geographic Information Systems - the temporal and spatial likelihood of fire occurrences in spring recharge areas undergoing ecological restoration and contributing to hydroelectric reservoirs in southern Minas Gerais, Brazil. The findings indicated that the months with the highest probability of wildfire occurrences were August and September (accounting for 66% of cases), requiring increased attention to prevention efforts. Furthermore, locations most susceptible to fires (steeper slopes, more flammable vegetation, and higher anthropogenic use) should be treated as priorities for both prevention and ecological restoration actions. RESUMO A perda parcial ou total da cobertura vegetal desencadeia um aumento do escoamento superficial, erosão e assoreamento de corpos hídricos, entre eles os reservatórios para a geração de energia hidroelétrica, reduzindo sua expectativa de vida útil. Para tentar controlar ou corrigir este problema, intervenções de restauração ecológica devem priorizar a recuperação de áreas mais frágeis a estes processos, como as nascentes. Por outro lado, a ocorrência de incêndios promove danos à cobertura vegetal e inibem os processos de restauração ecológica e/ou regeneração natural. Desta forma, o objetivo deste estudo foi identificar - com o auxílio de Sistemas de Informações Geográficas - a época mais provável e os locais mais susceptíveis aos incêndios, em áreas de recarga de nascentes sob processo de restauração ecológica e que são contribuintes de reservatórios hidroelétricos no sul de Minas Gerais, Brasil. Os resultados demonstraram que os meses de maior probabilidade de ocorrências de incêndios florestais foram agosto e setembro (66% dos casos), o que exigirá maior atenção quando das ações de prevenção. Bem assim, que os locais mais susceptíveis à ocorrência de incêndios (maior inclinação, vegetação mais inflamável e maior uso antrópico) necessitarão ser tratados como prioritários, tanto para ações de prevenção quanto de restauração ecológica.",scielo
"Araújo, Ruth Abreu and Gama-Rodrigues, Emanuela Forestieri and Gama-Rodrigues, Antonio Carlos and Vieira, Ricardo Augusto M.",2024,"Carbon Mineralization in Soil Aggregate Classes Under Leguminous Tree Planting in North Fluminense, Brazil","Abstract The physical protection of soil organic matter through its occlusion in aggregates is a mechanism which reduces their accessibility by microorganisms. When the physically protected carbon (C) becomes accessible to the microbiota, it generates a flow of CO2. The objective of this study was to evaluate the C mineralization rate in macro and microaggregates of macerated and non-macerated soils under different leguminous tree, pasture, and secondary forest (capoeira). The CO2 mineralization curves showed that maceration increased the amount of C mineralized in macroaggregates, mainly in leguminous tree. Maceration provided an increase of approximately 50% and 47% in acacia and ingá, respectively, and 35% in sabiá. Capoeira and pasture did not respond to maceration.",scielo
"Maciel, Tatiane Tagliatti and Mota Soares, Matheus Mickael and Aguilar Fachin, Diego and Correa Barbosa, Bruno",2023,"New records of two-winged flies (Diptera: Brachycera) in social wasp colonies (Hymenoptera: Vespidae) from the Atlantic Forest biome in the state of Minas Gerais, Brazil","Abstract Nine new associations between dipterans and social wasp colonies are reported, providing information for understanding the ecological relationships between species in addition to new geographic distributions. The records took place between 2016 and 2018, in urban and secondary forest fragments in the cities of Cataguases, Goianá, Juiz de Fora, Muriaé, and Vinosa, all inserted in the Atlantic Forest biome in the state of Minas Gerais, Brazil. Understanding the ecological relationships between groups of insects provides subsidies for studies of ecology, biology, and behavior of the organisms involved in order to develop conservation strategies not only for the organisms but also for the areas where they occur. Resumen Se reportan nueve nuevas asociaciones entre dípteros y colonias de avispas sociales, brindando información para comprender las relaciones ecológicas entre las especies, además de nuevas distribuciones geográficas. Los registros ocurrieron entre 2016 y 2018, en fragmentos de bosques urbanos y secundarios en las ciudades de Cataguases, Goianá, Juiz de Fora, Muriaé y Vinosa, todos ellos insertos en el bioma de Mata Atlántica en el estado de Minas Gerais, Brasil. Comprender las relaciones ecológicas entre grupos de insectos proporciona subsidios para estudios de ecología, biología y comportamiento de los organismos involucrados con el fin de desarrollar estrategias de conservación no solo para los organismos, sino que también para las áreas donde se encuentran.",scielo
"Oliveira, Visêldo Ribeiro de and Ribeiro, Andressa and Pareyn, Frans Germain Corneel and Drumond, Marcos Antônio and Porto, Diogo Denardi and Kiill, Lúcia Helena Piedade and Ferraz Filho, Antonio Carlos",2023,"The influence of clear-cut area size on forest regrowth: a case study in the dry tropical forests of Pernambuco, Brazil","ABSTRACT Background: Managed Caatinga forests in Northeast Brazil are an important source of wood products, however, successful regeneration and regrowth is important to guarantee sustainability in these forests. The main objective of this study was to evaluate the natural regeneration and forest regrowth ability of a Caatinga forest under varying clear-cut treatments, as well as to estimate the recovery time of stand parameters. Results: An experiment was set up in Petrolina, Pernambuco state, Brazil, comparing five clear-cut strip widths: 0, 40, 60, 80 and 100 meters. Forest inventory data was gathered before and eight years after harvesting in 19 plots of 10 x 40 m. Tree seedling regeneration (individuals with circumference at breast height < 6 cm and minimum height of 0.5 m) was also monitored in 5 x 5 m sub plots, before harvesting, one, three and eight years after harvesting. Conclusions: No influence of the clear-cut strip width on regeneration and forest regrowth ability was detected, with all treatments presenting similar growth and tree species diversity and similarity values. The estimated growth rates of the clear-cut plots were of 0.12 m2·ha-1·year-1 and 0.39 m3·ha-1·year-1 for basal area and volume, respectively, resulting in recovery times of 35 and 49 years, longer than the 15 years cycles generally adopted in Caatinga forest management plans.",scielo
"Fiamoncini-Pastório, Fábio and Fiorentin-dos-Santos, Kristiana and de-Gasper, André Luís",2023,Classification systems for secondary forests in four neotropical countries: Synthesis and conceptual analysis,"ABSTRACT A forest successional stage classification system is an important tool for forest management and ecosystem protection. This review aimed to compare the legal definitions and classifications of primary and secondary forests adopted by four tropical countries: Brazil, Argentina, Panama, and Costa Rica. Two socio-economic and four structural criteria were established and compared among the countries. Only Argentina clearly underpins its ratings with scientific studies, and only in this country do social groups participate in the development of the law. Brazil and Argentina had the highest number of parameters to differentiate forest types. According to our findings, we encourage all countries to update their legal systems based on scientific information and include popular participation in the discussion. This would reduce conflicts of interest and allow for a better reconciliation of forest conservation and sustainable development. RESUMEN Una herramienta importante para la gestión forestal y la protección de los ecosistemas es un sistema de clasificación de etapas de sucesión forestal. En esta revisión, nuestro objetivo fue comparar las definiciones y clasificaciones legales de bosques primarios y secundarios adoptadas por cuatro países tropicales: Brasil, Argentina, Panamá y Costa Rica. Se establecieron y compararon entre países dos criterios socioeconómicos y cuatro estructurales. Solo Argentina sustenta claramente sus calificaciones en estudios científicos y solo en este país participan grupos sociales durante la elaboración de la ley. Brasil y Argentina presentaron el mayor número de parámetros para diferenciar tipos de bosques. De acuerdo con nuestros hallazgos, alentamos a todos los países a actualizar sus sistemas legales, basados en información científica e incluir la participación popular en la discusión, reduciendo los conflictos de interés y permitiendo conciliar mejor la conservación forestal y el desarrollo sostenible.",scielo
