author,year,title,abstract,group
"Hopp, PW; Ottermanns, R; Caron, E; Meyer, S; Ross-Nickoll, M",2010,Recovery of litter inhabiting beetle assemblages during forest regeneration in the Atlantic forest of Southern Brazil,"1. As mature tropical forests disappear, secondary forests with their potential to conserve mature tropical forest species are increasingly of interest in a conservation context. 2. We investigated the recovery of litter inhabiting beetle diversity and composition during natural forest regeneration in the coastal submontane forest of Southern Brazil, using chronosequences on two different soil types: cambisol and gleysol. Secondary forests, ranging in ages from 5 to 50 years, as well as old-growth forests were studied. Beetles were sifted from leaf litter and extracted using the Winkler technique. 3. Young secondary forests had a very low species density and a significantly different and heterogeneous species composition compared to old-growth forests. During forest regeneration, species density greatly increased and the species composition of older secondary forests was similar to that of old-growth forests. The recovery pattern of species density and composition differed between soil types; nonetheless, they showed the same tendencies generally. Thus, mature secondary forests of about 35-50 years can be assumed to contribute substantially to the maintenance of forest beetle species. 4. Litter quantity was not only significantly correlated with species density; but, even reflected the density pattern of both soil types. Thus, litter quantity is an important factor for maintaining or recovering high beetle densities. The composition of beetle assemblages was strongly affected by soil type. Thus, soil type should be considered in regional biodiversity monitoring and conservation actions.",soil
"Bieluczyk, W; Duarte, MP; de Camargo, PB; Noronha, NC; Piccolo, MD; Tsai, SM",2025,Restoration of soil health by Amazonian secondary forests is severely eroded by slash-and-burn recurrence,"Secondary forest regeneration is a promising path to restore soil health in the Amazon, but slash-and-burn for agricultural reconversion may reverse decades of the soil's multifunctional progress. This study examined (i) how secondary forests rehabilitate soil multifunctionality after long-term agriculture in the eastern Amazon and (ii) the extent of soil functional loss if the forest is re-burned after two decades of ecological restoration. We investigated contiguous secondary forests at 2, 5, and 20 years, including post-slash-and-burn of the 20-year-old forest, all on soils with over 85 % sand on a small farm practicing shifting agriculture. We structured a soil health assessment using thirteen physical, chemical, and biological soil indicators, and calculated index scores based on soil functions. Secondary forests improved soil aggregation, cation exchange capacity, and nitrogen and carbon levels, enhancing soil's physical, chemical, and biological functions and increasing soil multifunctionality by 13 % over 18 years. While slash-and-burn increased available P and exchangeable Ca, Mg, and K, nutrient levels remained poor for cassava cultivation on the farm. Furthermore, nitrogen, cation exchange capacity, carbon, macrofauna indexes, and aggregate stability dropped to levels comparable to or lower than the 2-year-old forest, reducing the soil health score by 11 %. We conclude that secondary forests effectively restore soil multifunctionality in the eastern Amazon, but a single slash-and-burn recurrence reverses two decades of soil health recovery. We advocate educational and socioeconomic support for small farmers reliant on slash-and-burn, promoting sustainable agroforestry and compensating those who perpetuate secondary forests, given their soil health benefits demonstrated in this study.",soil
"Davidson, EA; Martinelli, LA",2009,Nutrient Limitations to Secondary Forest Regrowth,"The old, highly weathered soils of the lowland forest within the Amazon Basin generally exhibit conservative P cycles and leaky N cycles. This generalization applies to mature forests, but accelerating land use change is altering Amazonian landscapes. About 16% of the original forest area has been cleared, and about 160,000 km(2) is in secondary forest cover. Secondary forests are common in agricultural regions, but few persist in one place for much more than 5 years. The nutrients within ephemeral forests are important for smallholder traditional slash-and-burn agriculture and in alternatives developed to conserve nutrients. Forest clearing causes an initial loss of nutrients through timber harvesting, fire, erosion, soil gaseous emissions, and hydrologic leaching, with N losses exceeding P losses. In contrast, the Ca, Mg, and K present in woody biomass are largely conserved as ash following fire, redistributing these nutrients to the soil. After the initial postclearing pulse of nutrient availability, rates of N cycling and loss consistently decline as cattle pastures age. Fertilization experiments have demonstrated that growth of young forests in abandoned agricultural land is nutrient limited. Several N cycling indicators in a secondary forest chronosequence study also demonstrated a conservative N cycle in young forests. Variable N limitation in young forests helps explain a negative relationship observed between the burn frequency during previous agricultural phases and the rate of forest regrowth. Recuperation of the N cycle gradually occurs during decades of secondary forest succession, such that mature lowland forests eventually recover abundant N relative to a conservative P cycle.",soil
"Hughes, RF; Kauffman, JB; Jaramillo, VJ",1999,"Biomass, carbon, and nutrient dynamics of secondary forests in a humid tropical region of Mexico","Tropical secondary forests have the capacity to function as large carbon and nutrient sinks and may offset losses resulting from deforestation and land use. In the heavily deforested Los Tuxtlas Region of Mexico, aboveground biomass as well as aboveground and mineral soil C, N, S, and P pools were quantified in Il secondary forest sites. These sites ranged in age from 6 mo to 50 yr following abandonment and had experienced between 1 and 30 yr of land use prior to abandonment. Total aboveground biomass (TAGB) increased with increasing site age and ranged from 4.8 Mg/ha in a recently abandoned site to 287 Mg/ha in the 50-yr-old secondary forest site. Results indicate that secondary forests would reach TAGB levels equivalent to those of primary forests in the Los Tuxtlas Region after 73 yr. Furthermore, mean annual aboveground biomass accumulation (ABA) of secondary forests was strongly and inversely related to the duration of prior land use. Aboveground pools of C, N, S, and P were also positively correlated with secondary forest age. For forests between 6 mo and 50 yr of age, C pools increased from 2 to 136 Mg/ha, N increased from 72 to 1167 kg/ha, S increased from 9 to 147 kg/ha, and P increased from 5 to 147 kg/ha. In contrast, C, N, and S pools in mineral soil to a l-m depth remained relatively stable throughout the successional chronosequence and averaged 207, 20, and 3.4 Mg/ha, respectively. Mineral soil pools did not differ with respect to forest age or prior land use history and did not differ from soil pools of primary forest, cornfield, and pasture sites in the Los Tuxtlas Region. Dynamics of the combined aboveground and mineral soil C pools (i.e., excluding C in root biomass) were characterized by increasing contributions from aboveground pools with increasing forest age; aboveground C pools accounted for 9% and 42% of the combined pool in the youngest and oldest forests, respectively. In contrast, changes in combined aboveground and mineral soil pools of N and S during secondary succession were relatively small because >90% of N and S mass was located in mineral soil pools.",soil
"Smith, J; Ferreira, S; van de Kop, P; Ferreira, CP; Sabogal, C",2003,The persistence of secondary forests on colonist farms in the Brazilian Amazon,"While slash-and burn farmers convert forest to agriculture, they also regenerate significant areas of secondary fallow forests on their farms. Under what conditions does secondary forest cover persist on slash-and-burn farms? Survey data from Para, Brazil show that secondary forests occupy 20% of farm area even after a century of settlement. In addition to restoring soil fertility, secondary forests contribute over 20% of farmers' income through products such as charcoal, fruit, game animals and firewood for on-farm processing. Econometric analysis shows that slow rates of population growth and increases in agricultural incomes through on-farm processing of agricultural products enable farmers to maintain long fallows and result in diversified systems compatible with secondary forest cover in the study area. On the other hand, declining agricultural productivity, subsidized credit, declines in the growth rate of secondary forests and policies favoring speculative land acquisition threaten secondary forest persistence. In older settlement areas, secondary forests are often the only forest resource available to the rural poor. Fallow areas should therefore be managed not only for agricultural productivity, but also for conserving forest resources.",soil
"de Blécourt, M; Brumme, R; Xu, JC; Corre, MD; Veldkamp, E",2013,Soil Carbon Stocks Decrease following Conversion of Secondary Forests to Rubber (Hevea brasiliensis) Plantations,"Forest-to-rubber plantation conversion is an important land-use change in the tropical region, for which the impacts on soil carbon stocks have hardly been studied. In montane mainland southeast Asia, monoculture rubber plantations cover 1.5 million ha and the conversion from secondary forests to rubber plantations is predicted to cause a fourfold expansion by 2050. Our study, conducted in southern Yunnan province, China, aimed to quantify the changes in soil carbon stocks following the conversion from secondary forests to rubber plantations. We sampled 11 rubber plantations ranging in age from 5 to 46 years and seven secondary forest plots using a space-for-time substitution approach. We found that forest-to-rubber plantation conversion resulted in losses of soil carbon stocks by an average of 37.4+/-4.7 (SE) Mg C ha(-1) in the entire 1.2-m depth over a time period of 46 years, which was equal to 19.3+/-2.7% of the initial soil carbon stocks in the secondary forests. This decline in soil carbon stocks was much larger than differences between published aboveground carbon stocks of rubber plantations and secondary forests, which range from a loss of 18 Mg C ha(-1) to an increase of 8 Mg C ha(-1). In the topsoil, carbon stocks declined exponentially with years since deforestation and reached a steady state at around 20 years. Although the IPCC tier 1 method assumes that soil carbon changes from forest-to-rubber plantation conversions are zero, our findings show that they need to be included to avoid errors in estimating overall ecosystem carbon fluxes.",soil
"Korasaki, V; Braga, RF; Zanetti, R; Moreira, FMS; Vaz-de-Mello, FZ; Louzada, J",2013,Conservation value of alternative land-use systems for dung beetles in Amazon: valuing traditional farming practices,"Land-use systems (LUS), placed in originally forested areas, represent different degrees of opportunity for species conservation. In this study, we examined the dung beetle communities in order to identify the conservation value of different LUS: primary forest, old secondary forest, young secondary forest, agroforestry, agriculture and pasture in Western Amazon. The LUS were sampled in two campaigns during the highest precipitation period and dryest period. The primary forest has a high number of total and exclusive species. Large beetles show a continuous decreasing in richness and abundance from primary forest to pastures, while small ones are not sensible to intermediate systems (secondary forest to agriculture) in terms of species richness and exhibit a increase in abundance at agroforest and agriculture when contrasted to secondary forest and pasture The beetle community composition was not sensible to secondary forest recovering time. Secondary forests and agroforestry stood out as harboring many species shared with primary forests. Cloud-point dispersion (average dissimilarity) increased from primary forest towards LUS's submitted to more intense use. The higher sampling points similarity observed in primary forest might be the result of the relative stability of this system, given that environmental impacts might increase variability in community structure and beta diversity. Increase in beta diversity as expressed by greater dispersion of sites in multivariate space suggests that these areas are dependent on nearby species pools, possibly primary forests, and harbor a higher spatial heterogeneity in species composition. This high variability can overestimate the importance of occasional species, thus biasing the actual value of alternative LUS for biodiversity conservation.",soil
"Durrer, A; Margenot, AJ; Silva, LCR; Bohannan, BJM; Nusslein, K; van Haren, J; Andreote, FD; Parikh, SJ; Rodrigues, JLM",2021,Beyond total carbon: conversion of amazon forest to pasture alters indicators of soil C cycling,"It is well established that land use change (LUC) can impact soil organic carbon (SOC) in tropical regions, but the long-term effects of LUC on soil quality and C cycling remain unclear. Here, we evaluated how LUC affects soil C cycling in the Amazon region using a 100-year observational chronosequence spanning primary forest-to-pasture conversion and subsequent secondary forest succession. We found a surprising increase in topsoil SOC concentrations 60 years following conversion, despite major losses (> 85%) of forest-derived SOC within the first 25 years. Shifts in molecular composition of SOC, identified with diffuse reflectance infrared Fourier transform (DRIFT) spectroscopy, occurred in tandem with a significant decline in permanganate-oxidizable C (POXC) and beta-glucosidase activity (per unit SOC), interpreted as a deceleration of soil C cycling after pasture grasses became the dominant source of C inputs to soil. Secondary forest succession caused rapid reversal to conditions observed under primary forest for beta-glucosidase activity but not for SOC molecular composition (DRIFT spectroscopy), reflecting a long-lasting effect of LUC on soil C cycling. Our results show that rapid changes in the origin of SOC occur following deforestation with legacy effects on some indicators of C cycling (e.g. enzyme activity) but not others (e.g. molecular composition). This approach offers mechanistic understanding of LUC in the Amazon basin and can be used to help explain conflicting reports on how deforestation impacts SOC in the region.",soil
"Pacheco, R; Silva, RR; Morini, MSD; Brandao, CRF",2009,A Comparison of the Leaf-Litter Ant Fauna in a Secondary Atlantic Forest with an Adjacent Pine Plantation in Southeastern Brazil,"We investigated the influence of Pinus afforestation on the structure of leaf-litter ant communities in the southeastern Brazilian Atlantic Forest, studying an old secondary forest and a nearly 30 year-old never managed Pinus elliottii reforested area. A total of 12,826 individual ants distributed among 95 species and 32 genera were obtained from 50 1 m(2) samples/habitat. Of these, 60 species were recorded in the pine plantation and 82 in the area of Atlantic forest; almost 50% of the species found in the secondary forest area were also present in the pine plantation. The number of species per sample was significantly higher in the secondary forest than in the pine plantation. Forest-adapted taxa are the most responsible for ant species richness differences between areas, and the pine plantation is richer in species classified as soil or litter omnivorous-dominants. The specialized ant predators registered in the pine plantation, as seven Dacetini, two Basiceros, two Attini and two Discothyrea, belong to widely distributed species. The NMDS (non-metric multidimensional scaling) ordination also suggested strong differences in similarity among samples of the two areas. Furthermore, this analysis indicated higher sample heterogeneity in the secondary forest, with two clusters of species, while in the pine plantation the species belong to a single cluster. We applied the ant mosaic hypothesis to explain the distribution of the leaf-litter fauna and spatial autocorrelation tests among samples. We argue that the results are likely related to differences in quality and distribution of the leaf-litter between the pine plantation and the secondary area.",soil
"Pedrinho, A; Mendes, LW; Merloti, LF; Andreote, FD; Tsai, SM",2020,The natural recovery of soil microbial community and nitrogen functions after pasture abandonment in the Amazon region,"We assessed the impacts of forest-to-pasture conversion on the dynamic of soil microbial communities, especially those involved in the N-cycle, and their potential functions, using DNA-metagenomic sequencing coupled with the quantification of marker genes for N-cycling. We also evaluated whether the community's dynamic was reestablished with secondary forest growth. In general, the microbial community structure was influenced by changes in soil chemical properties. Aluminum and nitrate significantly correlated to community structure and with 12 out of 21 microbial phyla. The N-related microbial groups and their potential functions were also affected by land-use change, with pasture being clearly different from primary and secondary forest systems. The microbial community analysis demonstrated that forest-to-pasture conversion increased the abundance of different microbial groups related to nitrogen fixation, including Bacteroidetes, Chloroflexi and Firmicutes. In contrast, after pasture abandonment and with the secondary forest regeneration, there was an increase in the abundance of Proteobacteria taxa and denitrification genes. Our multi-analytical approach indicated that the secondary forest presented some signs of resilience, suggesting that the N-related microbial groups and their potential functions can be recovered over time with implications for future ecological restoration programs.",soil
