term	strength	rank
chiroptera	28	1
neotropical region	37	2
quaternary drainage	39	3
brachyteles hypoxanthus	46	4
community dynamics	49	5
conservation management	50	6
elliottii engelm	51	7
habitat restoration	53	8
regression analysis	55	9
anthropogenic effect	58	10
frugivory	59	11
tropical environment	60	12
palynology	66	13
above ground biomass	67	14
ocotea odorifera	70	15
ecosystem resilience	73	16
plantation forestry	73	16
forest ecology	75	18
landscape ecology	77	19
economics	80	20
environmental monitoring	81	21
restoration ecology	81	21
attalea phalerata	82	23
comparative study	83	24
taxonomy	85	25
swietenia macrophylla	96	26
spatial analysis	99	27
tropical climate	99	27
isoptera	103	29
riparian ecosystem	108	30
physiology	113	31
water quality	116	32
manilkara huberi	129	33
floristics	137	34
environmental restoration	144	35
espirito santo	145	36
mimosa tenuiflora	147	37
global warming	150	38
geography	157	39
human activity	157	39
family farmers	159	41
parque estadual	161	42
adaptive management	166	43
photosynthesis	171	44
landsat thematic mapper	172	45
bolivia	173	46
nitrogen fixation	175	47
united states	175	47
arecaceae	178	49
bos	178	49
population dynamics	182	51
environmental protection	183	52
population density	183	52
satellite imagery	184	54
carbon dioxide	187	55
corymbia citriodora	195	56
microbial activity	195	56
ecotone	200	58
decision making	201	59
reduced-impact logging	201	59
soil fauna	204	61
bertholletia excelsa	207	62
infiltration	207	62
endangered species	208	64
seed predation	211	65
afforestation	212	66
bioindicator	212	66
hydraulic conductivity	212	66
humans	213	69
mimosa scabrella	215	70
artificial perches	219	71
federal district	223	72
tropical rain forest	225	73
amazonas	226	74
landscape change	226	74
vegetation dynamics	227	76
habitat structure	229	77
clearcutting	230	78
terra firme	230	78
land degradation	232	80
female	236	81
sustainable development	237	82
multivariate analysis	239	83
euterpe edulis	239	83
demography	240	85
urbanization	241	86
habitat fragmentation	246	87
semiarid region	249	88
hymenoptera	263	89
phenology	288	90
sustainable forest management	288	90
chemistry	298	92
environmental degradation	298	92
permanent preservation	301	94
melastomataceae	308	95
rondonia	315	96
cluster analysis	318	97
conservation status	320	98
forest landscape restoration	320	98
holocene	320	98
rubiaceae	333	101
seedling establishment	344	102
procedures	347	103
silviculture	347	103
formicidae	354	105
paragominas	356	106
peru	365	107
abandoned land	369	108
habitat loss	371	109
seedling emergence	371	109
seasonal variation	378	111
thematic mapper	380	112
environmental impact	385	113
soil carbon	394	114
forest inventory	396	115
forest fragmentation	401	116
poaceae	402	117
ecological indicators	407	118
male	407	118
revegetation	419	120
forest soil	430	121
invasive species	447	122
nutrient cycling	458	123
selective logging	460	124
arbuscular mycorrhiza	467	125
land use change	467	125
population structure	471	127
bamboo	481	128
manaus	494	129
herbivory	502	130
phytosociology	513	131
community assembly	517	132
soil quality	532	133
carbon storage	539	134
leaf litter	551	135
forest dynamics	552	136
semiarid	559	137
seasonality	563	138
facilitation	564	139
ecological groups	610	140
south america	615	141
vismia	617	142
pernambuco	620	143
riparian forests	621	144
adaptation	631	145
atlantic rain forest	638	146
mimosa	652	147
environmental factor	654	148
soil organic matter	662	149
organic carbon	669	150
araucaria angustifolia	671	151
tree planting	675	152
spatial distribution	682	153
land-use change	688	154
shifting cultivation	704	155
fungi	711	156
ecosystem restoration	717	157
floristic similarity	719	158
secondary vegetation	720	159
amazon basin	744	160
functional groups	747	161
community composition	748	162
litterfall	751	163
drought	760	164
landscape restoration	775	165
woody plant	783	166
slash-	785	167
watershed	790	168
mapping	808	169
parana	811	170
nucleation	815	171
protected area	816	172
phosphorus	818	173
carbon sequestration	825	174
sao paulo	834	175
araucaria forest	848	176
myrtaceae	851	177
connectivity	878	178
cecropia	889	179
forest ecosystem	923	180
fires	934	181
remote sensing	947	182
fabaceae	951	183
animals	990	184
community structure	991	185
vegetation cover	1007	186
functional traits	1035	187
soil seed bank	1074	188
environmental conditions	1077	189
aging	1091	190
harvesting	1109	191
seed rain	1114	192
grassland	1118	193
active restoration	1138	194
diversity index	1143	195
plant community	1165	196
